lng,lat,id,@id,addr:city,addr:street,denotation,leaf_cycle,leaf_type,natural,genus,species,species:es,species:mp,species:es_1,wikidata,wikipedia
-7909285.06461287,-4124026.50090234,node/6388400690,node/6388400690,Chimbarongo,Los Recolectores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909290.84209445,-4124030.98302702,node/6388400691,node/6388400691,Chimbarongo,Los Recolectores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909293.51376223,-4124029.0872641,node/6388400692,node/6388400692,Chimbarongo,Los Recolectores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909306.25984392,-4124013.6638905,node/6388400693,node/6388400693,Chimbarongo,Los Recolectores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909304.27835699,-4124015.38361592,node/6388400694,node/6388400694,Chimbarongo,Los Recolectores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909309.71074814,-4124018.322045,node/6388400695,node/6388400695,Chimbarongo,Los Recolectores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909307.64020561,-4124019.96052422,node/6388400696,node/6388400696,Chimbarongo,Los Recolectores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909365.45954912,-4123974.5435939,node/6388400698,node/6388400698,Chimbarongo,Los Recolectores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909369.16648817,-4123980.66417127,node/6388400699,node/6388400699,Chimbarongo,Los Recolectores,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909350.04179965,-4124006.59541559,node/6388400701,node/6388400701,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909352.11234218,-4124010.30568731,node/6388400702,node/6388400702,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909342.02679631,-4124011.8629185,node/6388400703,node/6388400703,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909343.66319283,-4124014.43573574,node/6388400704,node/6388400704,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909360.20526916,-4124023.39997725,node/6388400705,node/6388400705,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909361.93072127,-4124026.93421945,node/6388400706,node/6388400706,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909350.73198049,-4124027.44878354,node/6388400707,node/6388400707,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909353.57062751,-4124030.82053304,node/6388400708,node/6388400708,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909395.10392952,-4124015.47840394,node/6388400711,node/6388400711,Chimbarongo,Las Temporeras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909391.57510167,-4124017.96997511,node/6388400712,node/6388400712,Chimbarongo,Las Temporeras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909398.04276408,-4124020.90840487,node/6388400713,node/6388400713,Chimbarongo,Las Temporeras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909394.50280427,-4124022.96666027,node/6388400714,node/6388400714,Chimbarongo,Las Temporeras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909332.21954917,-4124055.05924409,node/6388408333,node/6388408333,Chimbarongo,Las Temporeras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909316.45670928,-4124065.32347384,node/6388408334,node/6388408334,Chimbarongo,Las Temporeras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909336.21591889,-4124061.69443111,node/6388408335,node/6388408335,Chimbarongo,Las Temporeras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909328.71298521,-4124057.56436526,node/6388408336,node/6388408336,Chimbarongo,Las Temporeras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909376.27980363,-4124048.45114336,node/6388408337,node/6388408337,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909377.78261675,-4124052.32392323,node/6388408338,node/6388408338,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909368.39838368,-4124052.8249473,node/6388408339,node/6388408339,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909370.89194028,-4124056.71126988,node/6388408340,node/6388408340,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909379.0627909,-4124069.99519103,node/6388408341,node/6388408341,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909381.04427784,-4124073.57007158,node/6388408342,node/6388408342,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909386.06478687,-4124065.43180349,node/6388408344,node/6388408344,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909388.1130655,-4124068.62752869,node/6388408345,node/6388408345,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909403.10780091,-4124090.02266156,node/6388408346,node/6388408346,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909405.1004198,-4124093.1236051,node/6388408347,node/6388408347,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909397.58635417,-4124098.41823119,node/6388408348,node/6388408348,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909405.54569776,-4124111.35012899,node/6388408349,node/6388408349,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909408.19510164,-4124115.87291142,node/6388408350,node/6388408350,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909414.28427779,-4124107.58565877,node/6388414085,node/6388414085,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909416.26576472,-4124111.16055132,node/6388414086,node/6388414086,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909449.43897298,-4124100.19213462,node/6388414087,node/6388414087,Chimbarongo,Los Artesanos,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909445.57618665,-4124102.95454966,node/6388414088,node/6388414088,Chimbarongo,Los Artesanos,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909453.09025228,-4124107.58565877,node/6388414089,node/6388414089,Chimbarongo,Los Artesanos,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909449.47236883,-4124110.17203925,node/6388414090,node/6388414090,Chimbarongo,Los Artesanos,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909444.2960125,-4124104.05139112,node/6388414091,node/6388414091,Chimbarongo,Los Artesanos,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909430.24749277,-4124134.03176588,node/6388414093,node/6388414093,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909432.75218131,-4124137.99936439,node/6388414094,node/6388414094,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909442.74867158,-4124152.21773239,node/6388414095,node/6388414095,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909444.12903327,-4124155.41348235,node/6388414096,node/6388414096,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
