lng,lat,id,@id,addr:city,addr:street,denotation,leaf_cycle,leaf_type,natural,genus,species,species:es,species:mp,species:es_1,wikidata,wikipedia
-71.032,-34.7052533,node/6144162202,node/6144162202,Chimbarongo,El Bosque,garden,,broadleaved,tree,,,,,,,
-71.0318343,-34.7053312,node/6144162207,node/6144162207,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0316821,-34.7054129,node/6144162208,node/6144162208,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0317471,-34.7054842,node/6144162210,node/6144162210,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0316759,-34.7055198,node/6144162211,node/6144162211,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0316046,-34.7055554,node/6144162212,node/6144162212,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.031521,-34.7055928,node/6144162213,node/6144162213,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0314436,-34.7056242,node/6144162214,node/6144162214,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0313605,-34.7056567,node/6144162215,node/6144162215,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0311314,-34.705666,node/6144194236,node/6144194236,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.031536,-34.7054779,node/6144194237,node/6144194237,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.0314606,-34.7055161,node/6144194238,node/6144194238,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.031377,-34.70555,node/6144194239,node/6144194239,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.0314431,-34.7055254,node/6144194240,node/6144194240,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Acacia,Acacia dealbata,aromo de Castilla,,,,
-71.0312079,-34.7056246,node/6144194243,node/6144194243,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.0312417,-34.7056061,node/6144194245,node/6144194245,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.0312745,-34.7055922,node/6144194246,node/6144194246,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.031297,-34.7055763,node/6144194247,node/6144194247,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.0311752,-34.7056434,node/6144194248,node/6144194248,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.0312518,-34.7057104,node/6144231071,node/6144231071,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Acacia,Acacia melanoxylon,aromo australiano,,,,
