lat	lng	mag	time
34.0241667	-117.2326667	2.32	1668662145860
38.8238335	-122.8529968	0.37	1668662055330
35.6283333333333	-90.2821666666667	1.48	1668661845470
58.1863333333333	-155.282333333333	0.05	1668661748930
19157	-155.508666666667	3.86	1668660994460
33.4395	-116.5701667	0.62	1668660790190
34.3653333	-116.7456667	1.21	1668660737740
59.6069	-152.9212	1.4	1668660416542
61992	-150.0217	1.4	1668660297370
-11.3225	163.9527	5	1668660141850
17.9903333333333	-67.0003333333333	2.39	1668660102650
58.5864	-150.3914	2.5	1668659991941
31.63563504	-103.9872129	3.8	1668659911981
31.61514651	-103.9981476	2.1	1668659872307
41.9712	-119.55	2	1668659322341
61.9861	-150.9126	1.6	1668659237672
60.0296666666667	-153.077166666667	0.73	1668659131320
-1.9207	-78.0808	5.2	1668658790756
19.3483333333333	-155.306833333333	2.2	1668658408380
38.8056679	-122.8073349	0.84	1668658234450
42.2165	-111.0866667	1.78	1668657849870
39.1156	-119.7425	0.4	1668657815420
18181	-65.7613333333333	2.67	1668657485750
38196	-117.8503	1.8	1668657253276
31.61754658	-103.9669554	2.4	1668657244621
41.9712	-119.5441	2.1	1668655750466
38.8064995	-122.7976685	1.16	1668655529440
38.8079987	-122.7985001	1.92	1668655193800
17.9561666666667	-66939	2.07	1668654897720
62.3416	-150.9563	1.5	1668654506016
38.8365	-117.9307	1.8	1668653947529
33.2655	-116.4235	0.92	1668653700320
31.62667934	-103.9852887	2.1	1668653520669
48.9303	87.8219	4.4	1668653231680
31.61626779	-103.9716572	2.1	1668652656969
33.2855	-116.0815	1.1	1668652642300
36.36483333	-98.1605	1.77	1668652374030
33.2785	-116.0815	1.23	1668652044500
36.5077	-116.3561	0.3	1668651783583
60.5288	-152.0759	1.4	1668651704341
19482	-155.581333333333	1.77	1668651399710
33.0523333	-116476	1.03	1668650755230
19.4765	-155.4415	2.25	1668649914120
31.61709197	-104.0004432	2.5	1668649746251
31.6377399	-104.0102265	1.9	1668649655915
61.3886	-149.4999	1.5	1668649609438
63.4667	-145.9654	1.1	1668649517288
31.62977932	-103.9859754	2.1	1668649474605
-21.3212	-69.9052	4	1668649371420
31.62281739	-104.0061194	2.1	1668648449104
62.7992	-150849	2	1668648432412
38.1618	-117.8393	0.7	1668648250357
31.63448697	-103.9869386	2.1	1668647936626
61.4484	-149301	1.9	1668647744685
41502	-112.1796667	0.73	1668647698370
41.9541	-119.5619	1.3	1668647514732
31.73534445	-104.5694431	2.2	1668647467080
38.8404999	-122.8221664	0.96	1668647443110
