"package","declared","declared_recursive","without_base","without_base_recursive","without_installed","without_installed_recursive","reverse","reverse_recursive","badge_url"
"maptools",8,9,3,3,1,1,100,528,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"maptree",2,6,2,2,0,0,1,12,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mapview",16,106,15,97,14,90,5,8,"https://img.shields.io/badge/dependencies-14/90-red?style=flat"
"mAr",1,6,1,1,0,0,1,1,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mar1s",3,12,3,6,3,4,0,0,"https://img.shields.io/badge/dependencies-3/4-green?style=flat"
"march",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"marcher",12,26,9,20,8,18,0,0,"https://img.shields.io/badge/dependencies-8/18-orange?style=flat"
"marelac",3,35,2,29,2,29,2,3,"https://img.shields.io/badge/dependencies-2/29-green?style=flat"
"MareyMap",8,8,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"marg",2,11,2,4,1,1,1,1,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"MargCond",4,20,4,12,2,7,0,0,"https://img.shields.io/badge/dependencies-2/7-green?style=flat"
"MarginalMediation",11,51,10,43,9,40,0,0,"https://img.shields.io/badge/dependencies-9/40-orange?style=flat"
"margins",7,8,3,3,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"marima",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"marindicators",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"markdown",3,5,2,2,2,2,34,1264,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"markdownInput",3,25,3,20,3,20,0,0,"https://img.shields.io/badge/dependencies-3/20-green?style=flat"
"marked",19,84,14,75,13,70,1,1,"https://img.shields.io/badge/dependencies-13/70-red?style=flat"
"MarketMatching",14,77,12,68,12,62,0,0,"https://img.shields.io/badge/dependencies-12/62-red?style=flat"
"marketr",5,29,5,24,5,24,0,0,"https://img.shields.io/badge/dependencies-5/24-orange?style=flat"
"markmyassignment",8,41,7,35,6,34,0,0,"https://img.shields.io/badge/dependencies-6/34-orange?style=flat"
"markophylo",5,21,5,13,5,10,0,0,"https://img.shields.io/badge/dependencies-5/10-orange?style=flat"
"markovchain",13,18,7,10,6,8,3,3,"https://img.shields.io/badge/dependencies-6/8-orange?style=flat"
"Markovchart",7,80,5,71,5,65,0,0,"https://img.shields.io/badge/dependencies-5/65-orange?style=flat"
"MarkowitzR",2,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"marl",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"marmap",13,76,12,68,12,63,2,2,"https://img.shields.io/badge/dependencies-12/63-red?style=flat"
"marqLevAlg",2,6,2,4,2,3,0,0,"https://img.shields.io/badge/dependencies-2/3-green?style=flat"
"MARSS",7,10,3,4,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
