"package","declared","declared_recursive","without_base","without_base_recursive","without_installed","without_installed_recursive","reverse","reverse_recursive","badge_url"
"VARtests",4,17,3,10,3,8,0,0,"https://img.shields.io/badge/dependencies-3/8-green?style=flat"
"varycoef",5,16,5,9,5,8,0,0,"https://img.shields.io/badge/dependencies-5/8-orange?style=flat"
"vaultr",4,13,4,10,4,10,0,0,"https://img.shields.io/badge/dependencies-4/10-green?style=flat"
"vbdm",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"vbsr",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VBTree",1,2,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"VC2copula",3,21,2,13,2,10,0,0,"https://img.shields.io/badge/dependencies-2/10-green?style=flat"
"VCA",7,20,3,12,2,7,3,3,"https://img.shields.io/badge/dependencies-2/7-green?style=flat"
"vcd",7,11,3,5,2,3,16,60,"https://img.shields.io/badge/dependencies-2/3-green?style=flat"
"vcdExtra",8,18,4,12,3,8,2,4,"https://img.shields.io/badge/dependencies-3/8-green?style=flat"
"vcfR",15,45,10,36,10,30,3,3,"https://img.shields.io/badge/dependencies-10/30-red?style=flat"
"vcov",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"vcr",8,23,8,20,8,20,0,0,"https://img.shields.io/badge/dependencies-8/20-orange?style=flat"
"vcrpart",14,25,9,17,7,12,0,0,"https://img.shields.io/badge/dependencies-7/12-orange?style=flat"
"vctrs",4,6,4,4,4,4,30,4494,"https://img.shields.io/badge/dependencies-4/4-green?style=flat"
"vcvComp",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VDAP",4,103,4,94,4,84,0,0,"https://img.shields.io/badge/dependencies-4/84-green?style=flat"
"vdar",1,12,1,7,1,7,0,0,"https://img.shields.io/badge/dependencies-1/7-green?style=flat"
"vdg",10,60,4,51,4,46,0,0,"https://img.shields.io/badge/dependencies-4/46-green?style=flat"
"Vdgraph",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VdgRsm",2,3,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"vdiffr",18,93,17,87,17,87,0,0,"https://img.shields.io/badge/dependencies-17/87-red?style=flat"
"VDJgermlines",2,13,2,5,2,3,0,0,"https://img.shields.io/badge/dependencies-2/3-green?style=flat"
"VDSPCalibration",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"vec2dtransf",2,8,1,2,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"veccompare",8,126,7,116,7,106,0,0,"https://img.shields.io/badge/dependencies-7/106-orange?style=flat"
"vecsets",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VecStatGraphs2D",1,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VecStatGraphs3D",4,47,3,40,2,38,0,0,"https://img.shields.io/badge/dependencies-2/38-green?style=flat"
"vectools",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"vegalite",11,23,8,18,8,18,0,0,"https://img.shields.io/badge/dependencies-8/18-orange?style=flat"
"vegan",5,14,5,7,1,1,105,168,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"vegan3d",4,55,4,47,3,40,2,2,"https://img.shields.io/badge/dependencies-3/40-green?style=flat"
"vegawidget",7,14,7,10,7,10,1,1,"https://img.shields.io/badge/dependencies-7/10-orange?style=flat"
"vegclust",6,21,6,14,5,7,0,0,"https://img.shields.io/badge/dependencies-5/7-orange?style=flat"
"vegdata",4,7,3,4,2,3,2,2,"https://img.shields.io/badge/dependencies-2/3-green?style=flat"
"vegetarian",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"vegperiod",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"vegtable",8,119,7,111,6,102,0,0,"https://img.shields.io/badge/dependencies-6/102-orange?style=flat"
"vein",6,18,3,11,3,8,0,0,"https://img.shields.io/badge/dependencies-3/8-green?style=flat"
"velociraptr",1,17,1,10,1,7,1,1,"https://img.shields.io/badge/dependencies-1/7-green?style=flat"
"vembedr",4,20,4,16,4,16,0,0,"https://img.shields.io/badge/dependencies-4/16-green?style=flat"
"venn",1,2,1,1,1,1,1,5,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"VennDiagram",2,6,1,4,1,4,17,17,"https://img.shields.io/badge/dependencies-1/4-green?style=flat"
"venneuler",1,2,1,1,1,1,1,2,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"vennplot",7,44,3,38,3,37,0,0,"https://img.shields.io/badge/dependencies-3/37-green?style=flat"
"verification",8,15,5,9,3,7,1,1,"https://img.shields.io/badge/dependencies-3/7-green?style=flat"
"versions",0,0,0,0,0,0,2,7,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"vertexenum",1,1,1,1,1,1,1,1,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"VertexSimilarity",1,11,1,5,1,3,0,0,"https://img.shields.io/badge/dependencies-1/3-green?style=flat"
"VertexSort",2,13,2,7,2,5,0,0,"https://img.shields.io/badge/dependencies-2/5-green?style=flat"
"VeryLargeIntegers",1,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"vesselr",4,14,3,7,3,7,0,0,"https://img.shields.io/badge/dependencies-3/7-green?style=flat"
"vetools",8,32,8,25,8,23,0,0,"https://img.shields.io/badge/dependencies-8/23-orange?style=flat"
"vetr",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VetResearchLMM",5,70,5,61,4,53,0,0,"https://img.shields.io/badge/dependencies-4/53-green?style=flat"
"vfcp",3,25,3,17,3,15,0,0,"https://img.shields.io/badge/dependencies-3/15-green?style=flat"
"VFP",7,25,3,17,2,11,0,0,"https://img.shields.io/badge/dependencies-2/11-green?style=flat"
"vfprogression",3,3,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VFS",4,9,2,4,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"VGAM",4,4,0,0,0,0,60,74,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VGAMdata",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VGAMextra",4,5,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"vhcub",5,63,5,55,5,50,0,0,"https://img.shields.io/badge/dependencies-5/50-orange?style=flat"
"VHDClassification",4,10,2,4,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"vhica",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"viafr",11,37,11,32,11,32,0,0,"https://img.shields.io/badge/dependencies-11/32-red?style=flat"
"vici",10,122,7,113,6,105,0,0,"https://img.shields.io/badge/dependencies-6/105-orange?style=flat"
"vietnamcode",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"viewshed3d",10,113,9,104,9,96,0,0,"https://img.shields.io/badge/dependencies-9/96-orange?style=flat"
"VIF",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VIFCP",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VIGoR",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VIM",19,77,13,68,11,59,5,10,"https://img.shields.io/badge/dependencies-11/59-red?style=flat"
"vimp",7,39,6,33,6,32,0,0,"https://img.shields.io/badge/dependencies-6/32-orange?style=flat"
"VineCopula",10,11,4,4,2,2,8,10,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"vinereg",8,19,8,12,8,10,0,0,"https://img.shields.io/badge/dependencies-8/10-orange?style=flat"
"vines",5,24,4,17,4,14,1,1,"https://img.shields.io/badge/dependencies-4/14-green?style=flat"
"violinmplot",1,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"violinplotter",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"vioplot",2,8,2,3,2,2,4,4,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"viopoints",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"vip",7,56,5,48,5,43,0,0,"https://img.shields.io/badge/dependencies-5/43-orange?style=flat"
"vipor",2,2,0,0,0,0,1,4,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VIRF",9,136,8,127,8,117,0,0,"https://img.shields.io/badge/dependencies-8/117-orange?style=flat"
"viridis",4,55,3,47,3,42,72,625,"https://img.shields.io/badge/dependencies-3/42-green?style=flat"
"viridisLite",0,0,0,0,0,0,36,2996,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"viromeBrowser",14,102,14,94,14,88,0,0,"https://img.shields.io/badge/dependencies-14/88-red?style=flat"
"virtualNicheR",2,82,2,76,2,76,0,0,"https://img.shields.io/badge/dependencies-2/76-green?style=flat"
"virtualPollen",7,65,6,57,5,52,0,0,"https://img.shields.io/badge/dependencies-5/52-orange?style=flat"
"virtualspecies",9,20,4,14,4,11,1,1,"https://img.shields.io/badge/dependencies-4/11-green?style=flat"
"virustotal",2,13,2,10,2,10,0,0,"https://img.shields.io/badge/dependencies-2/10-green?style=flat"
"visdat",9,64,8,56,8,51,3,5,"https://img.shields.io/badge/dependencies-8/51-orange?style=flat"
"ViSiElse",8,59,6,51,5,46,0,0,"https://img.shields.io/badge/dependencies-5/46-orange?style=flat"
"visit",8,76,6,66,6,61,0,0,"https://img.shields.io/badge/dependencies-6/61-orange?style=flat"
"visNetwork",8,12,4,8,4,8,32,65,"https://img.shields.io/badge/dependencies-4/8-green?style=flat"
"visreg",1,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"vistime",4,101,4,93,4,87,0,0,"https://img.shields.io/badge/dependencies-4/87-green?style=flat"
"visTree",3,17,3,10,2,6,0,0,"https://img.shields.io/badge/dependencies-2/6-green?style=flat"
"vistributions",5,65,3,57,3,52,1,1,"https://img.shields.io/badge/dependencies-3/52-green?style=flat"
"visualFields",9,101,6,93,6,82,0,0,"https://img.shields.io/badge/dependencies-6/82-orange?style=flat"
"visualize",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"Visualize.CRAN.Downloads",5,80,3,72,3,67,0,0,"https://img.shields.io/badge/dependencies-3/67-green?style=flat"
"visvow",23,112,21,103,20,98,0,0,"https://img.shields.io/badge/dependencies-20/98-red?style=flat"
"vita",4,6,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"vitae",8,53,8,48,8,48,0,0,"https://img.shields.io/badge/dependencies-8/48-orange?style=flat"
"vitality",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"vivo",4,63,4,55,4,50,0,0,"https://img.shields.io/badge/dependencies-4/50-green?style=flat"
"vizdraws",7,34,6,29,6,29,0,0,"https://img.shields.io/badge/dependencies-6/29-orange?style=flat"
"vkR",6,14,3,9,3,9,0,0,"https://img.shields.io/badge/dependencies-3/9-green?style=flat"
"vlad",2,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"VLF",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VLMC",2,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VLTimeCausality",4,70,4,61,4,55,0,0,"https://img.shields.io/badge/dependencies-4/55-green?style=flat"
"vmd",6,58,6,50,6,45,0,0,"https://img.shields.io/badge/dependencies-6/45-orange?style=flat"
"vmsbase",29,121,27,113,25,106,0,0,"https://img.shields.io/badge/dependencies-25/106-red?style=flat"
"VNM",3,4,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"vocaldia",3,3,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"volesti",4,11,3,5,3,3,0,0,"https://img.shields.io/badge/dependencies-3/3-green?style=flat"
"volleystat",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"voronoiTreemap",6,32,6,27,6,27,0,0,"https://img.shields.io/badge/dependencies-6/27-orange?style=flat"
"vortexR",11,80,11,71,11,65,0,0,"https://img.shields.io/badge/dependencies-11/65-red?style=flat"
"vortexRdata",0,0,0,0,0,0,1,1,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VOSONDash",14,120,12,111,11,101,0,0,"https://img.shields.io/badge/dependencies-11/101-red?style=flat"
"vosonSML",19,104,16,96,16,86,1,1,"https://img.shields.io/badge/dependencies-16/86-red?style=flat"
"Voss",1,8,1,4,1,4,0,0,"https://img.shields.io/badge/dependencies-1/4-green?style=flat"
"vote",2,26,2,21,2,21,0,0,"https://img.shields.io/badge/dependencies-2/21-green?style=flat"
"voteogram",5,60,4,52,4,47,0,0,"https://img.shields.io/badge/dependencies-4/47-green?style=flat"
"votesys",3,10,3,4,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"vottrans",1,1,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"vov",3,23,3,18,3,18,0,0,"https://img.shields.io/badge/dependencies-3/18-green?style=flat"
"vowels",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"vows",7,33,7,24,6,18,0,0,"https://img.shields.io/badge/dependencies-6/18-orange?style=flat"
"voxel",9,69,6,60,5,54,0,0,"https://img.shields.io/badge/dependencies-5/54-orange?style=flat"
"vpc",7,71,7,63,5,55,3,3,"https://img.shields.io/badge/dependencies-5/55-orange?style=flat"
"vqtl",16,79,15,70,15,64,0,0,"https://img.shields.io/badge/dependencies-15/64-red?style=flat"
"vrcp",2,54,1,46,1,41,0,0,"https://img.shields.io/badge/dependencies-1/41-green?style=flat"
"vrmlgen",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"vroom",12,31,11,25,11,25,6,6,"https://img.shields.io/badge/dependencies-11/25-red?style=flat"
"vrtest",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"vscc",2,7,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"VSE",5,70,4,61,4,53,0,0,"https://img.shields.io/badge/dependencies-4/53-green?style=flat"
"vsgoftest",3,15,2,8,2,4,0,0,"https://img.shields.io/badge/dependencies-2/4-green?style=flat"
"vstsr",6,14,6,12,6,12,0,0,"https://img.shields.io/badge/dependencies-6/12-orange?style=flat"
"VSURF",7,21,6,14,5,10,1,1,"https://img.shields.io/badge/dependencies-5/10-orange?style=flat"
"vtable",5,33,3,28,3,28,0,0,"https://img.shields.io/badge/dependencies-3/28-green?style=flat"
"VTrack",14,115,14,106,14,93,0,0,"https://img.shields.io/badge/dependencies-14/93-red?style=flat"
"vtreat",3,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"vtree",5,88,5,80,5,75,0,0,"https://img.shields.io/badge/dependencies-5/75-orange?style=flat"
"VTShiny",4,77,3,69,3,64,0,0,"https://img.shields.io/badge/dependencies-3/64-green?style=flat"
"vudc",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"VUROCS",4,10,4,6,4,5,0,0,"https://img.shields.io/badge/dependencies-4/5-green?style=flat"
"vwline",5,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"VWPre",7,71,6,63,5,58,1,1,"https://img.shields.io/badge/dependencies-5/58-orange?style=flat"
"vwr",3,12,3,6,2,5,0,0,"https://img.shields.io/badge/dependencies-2/5-green?style=flat"
"W2CWM2C",3,11,3,6,3,6,0,0,"https://img.shields.io/badge/dependencies-3/6-green?style=flat"
"W3CMarkupValidator",3,4,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"waccR",6,41,6,36,6,36,0,0,"https://img.shields.io/badge/dependencies-6/36-orange?style=flat"
"wactor",9,66,7,58,6,53,0,0,"https://img.shields.io/badge/dependencies-6/53-orange?style=flat"
"waffect",1,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"waffle",6,58,5,50,5,45,0,0,"https://img.shields.io/badge/dependencies-5/45-orange?style=flat"
"wahc",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"waiter",3,22,3,17,3,17,1,1,"https://img.shields.io/badge/dependencies-3/17-green?style=flat"
"wakefield",4,61,4,53,4,48,0,0,"https://img.shields.io/badge/dependencies-4/48-green?style=flat"
"waldo",8,22,7,17,7,17,0,0,"https://img.shields.io/badge/dependencies-7/17-orange?style=flat"
"walker",15,103,14,93,14,83,0,0,"https://img.shields.io/badge/dependencies-14/83-red?style=flat"
"walkscoreAPI",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"wallace",21,139,21,130,21,123,0,0,"https://img.shields.io/badge/dependencies-21/123-red?style=flat"
"wally",4,110,3,101,3,89,0,0,"https://img.shields.io/badge/dependencies-3/89-green?style=flat"
"walmartAPI",7,36,7,31,7,31,0,0,"https://img.shields.io/badge/dependencies-7/31-orange?style=flat"
"walrus",4,63,4,55,4,50,0,0,"https://img.shields.io/badge/dependencies-4/50-green?style=flat"
"WaMaSim",1,1,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"wand",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"warbleR",18,35,12,28,12,27,2,2,"https://img.shields.io/badge/dependencies-12/27-red?style=flat"
"WARN",4,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"warp",0,0,0,0,0,0,1,10,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"warpMix",6,31,6,22,4,17,0,0,"https://img.shields.io/badge/dependencies-4/17-green?style=flat"
"washdata",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"washeR",5,11,1,6,1,5,0,0,"https://img.shields.io/badge/dependencies-1/5-green?style=flat"
"wasim",4,63,4,56,3,52,0,0,"https://img.shields.io/badge/dependencies-3/52-green?style=flat"
"water",3,11,3,5,3,4,0,0,"https://img.shields.io/badge/dependencies-3/4-green?style=flat"
"waterData",5,44,5,37,4,36,0,0,"https://img.shields.io/badge/dependencies-4/36-green?style=flat"
"waterfall",1,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"waterfalls",2,54,1,46,1,41,0,0,"https://img.shields.io/badge/dependencies-1/41-green?style=flat"
"WaterML",3,13,2,9,2,9,0,0,"https://img.shields.io/badge/dependencies-2/9-green?style=flat"
"waterquality",3,11,2,5,2,4,0,0,"https://img.shields.io/badge/dependencies-2/4-green?style=flat"
"Watersheds",6,12,5,6,4,4,0,0,"https://img.shields.io/badge/dependencies-4/4-green?style=flat"
"waterYearType",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"waveband",1,7,1,2,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"waved",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"wavefunction",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"WaveletANN",4,70,3,61,3,55,0,0,"https://img.shields.io/badge/dependencies-3/55-green?style=flat"
"WaveletArima",4,70,3,61,3,55,0,0,"https://img.shields.io/badge/dependencies-3/55-green?style=flat"
"WaveletComp",0,0,0,0,0,0,1,1,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"WaveletGARCH",8,89,5,80,5,73,0,0,"https://img.shields.io/badge/dependencies-5/73-orange?style=flat"
"WaveLetLongMemory",2,10,2,5,2,4,0,0,"https://img.shields.io/badge/dependencies-2/4-green?style=flat"
"wavelets",1,1,0,0,0,0,5,6,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"wavemulcor",3,9,3,4,3,4,1,1,"https://img.shields.io/badge/dependencies-3/4-green?style=flat"
"waver",5,11,4,5,4,4,0,0,"https://img.shields.io/badge/dependencies-4/4-green?style=flat"
"WaverR",2,18,2,12,1,10,0,0,"https://img.shields.io/badge/dependencies-1/10-green?style=flat"
"WaveSampling",3,10,3,4,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"waveslim",4,4,0,0,0,0,12,13,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"wavethresh",1,6,1,1,0,0,19,31,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"wavScalogram",6,16,5,9,4,7,0,0,"https://img.shields.io/badge/dependencies-4/7-green?style=flat"
"wBoot",2,4,2,2,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"wbs",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"wbsd",4,10,2,4,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"wbstats",3,36,3,31,3,31,1,1,"https://img.shields.io/badge/dependencies-3/31-green?style=flat"
"wbsts",3,11,3,6,3,5,0,0,"https://img.shields.io/badge/dependencies-3/5-green?style=flat"
"WCE",3,12,2,5,1,2,0,0,"https://img.shields.io/badge/dependencies-1/2-green?style=flat"
"WCM",3,11,2,5,2,4,0,0,"https://img.shields.io/badge/dependencies-2/4-green?style=flat"
"wCorr",5,7,4,4,4,4,1,1,"https://img.shields.io/badge/dependencies-4/4-green?style=flat"
"WCQ",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"WDI",1,2,1,1,1,1,2,4,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"wdm",1,3,1,1,1,1,2,4,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"wdman",6,21,5,17,5,17,4,5,"https://img.shields.io/badge/dependencies-5/17-orange?style=flat"
"wdpar",15,58,14,51,14,47,0,0,"https://img.shields.io/badge/dependencies-14/47-red?style=flat"
"weathercan",12,42,11,37,11,37,0,0,"https://img.shields.io/badge/dependencies-11/37-red?style=flat"
"weathermetrics",0,0,0,0,0,0,2,2,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"weatherr",4,81,4,73,4,68,0,0,"https://img.shields.io/badge/dependencies-4/68-green?style=flat"
"webchem",9,41,8,36,8,36,1,1,"https://img.shields.io/badge/dependencies-8/36-orange?style=flat"
"webdriver",10,23,9,17,9,17,2,4,"https://img.shields.io/badge/dependencies-9/17-orange?style=flat"
"webex",3,23,3,19,3,19,0,0,"https://img.shields.io/badge/dependencies-3/19-green?style=flat"
"WebGestaltR",15,54,13,46,13,43,0,0,"https://img.shields.io/badge/dependencies-13/43-red?style=flat"
"webglobe",3,57,3,50,3,45,0,0,"https://img.shields.io/badge/dependencies-3/45-green?style=flat"
"webmockr",7,15,7,12,7,12,2,2,"https://img.shields.io/badge/dependencies-7/12-orange?style=flat"
"webp",0,0,0,0,0,0,1,2,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"WebPower",8,25,4,16,3,11,0,0,"https://img.shields.io/badge/dependencies-3/11-green?style=flat"
"webr",20,156,19,147,19,138,0,0,"https://img.shields.io/badge/dependencies-19/138-red?style=flat"
"webreadr",2,25,2,21,2,21,0,0,"https://img.shields.io/badge/dependencies-2/21-green?style=flat"
"websearchr",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"webshot",3,8,3,6,3,6,15,299,"https://img.shields.io/badge/dependencies-3/6-green?style=flat"
"websocket",5,8,5,6,5,6,2,5,"https://img.shields.io/badge/dependencies-5/6-orange?style=flat"
"webTRISr",10,51,9,44,9,41,0,0,"https://img.shields.io/badge/dependencies-9/41-orange?style=flat"
"webuse",1,29,1,25,1,25,0,0,"https://img.shields.io/badge/dependencies-1/25-green?style=flat"
"webutils",2,3,2,2,2,2,3,6,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"wec",1,26,1,22,1,22,0,0,"https://img.shields.io/badge/dependencies-1/22-green?style=flat"
"weco",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"wedge",5,16,4,11,4,11,0,0,"https://img.shields.io/badge/dependencies-4/11-green?style=flat"
"WEE",4,16,3,9,3,6,0,0,"https://img.shields.io/badge/dependencies-3/6-green?style=flat"
"WeibullFit",14,36,10,31,10,29,0,0,"https://img.shields.io/badge/dependencies-10/29-red?style=flat"
"weibullness",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"WeibullR",2,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"weibulltools",10,86,10,78,9,72,0,0,"https://img.shields.io/badge/dependencies-9/72-orange?style=flat"
"Weighted.Desc.Stat",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"WeightedCluster",4,84,3,76,2,65,2,2,"https://img.shields.io/badge/dependencies-2/65-green?style=flat"
"WeightedPortTest",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"WeightedROC",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"weightedScores",2,6,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"WeightIt",3,54,3,46,3,41,2,2,"https://img.shields.io/badge/dependencies-3/41-green?style=flat"
"weightQuant",3,16,3,9,3,6,0,0,"https://img.shields.io/badge/dependencies-3/6-green?style=flat"
"weightr",2,54,2,46,2,41,1,1,"https://img.shields.io/badge/dependencies-2/41-green?style=flat"
"weights",3,95,3,87,3,77,8,20,"https://img.shields.io/badge/dependencies-3/77-green?style=flat"
"WeightSVM",5,5,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"weirs",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"welchADF",1,19,1,11,1,6,0,0,"https://img.shields.io/badge/dependencies-1/6-green?style=flat"
"wellknown",2,6,2,4,2,4,2,2,"https://img.shields.io/badge/dependencies-2/4-green?style=flat"
"WeMix",8,74,7,65,6,59,1,1,"https://img.shields.io/badge/dependencies-6/59-orange?style=flat"
"wesanderson",0,0,0,0,0,0,6,7,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"wevid",5,61,5,53,5,48,0,0,"https://img.shields.io/badge/dependencies-5/48-orange?style=flat"
